Ticker,Buy_Date,Sell_Date,Buy_Price,Sell_Price,PnL,Return_%,Holding_Period
IRB.NS,2020-01-24,2020-02-14,5.346489906311035,4.669158935546875,-7783.210185050964,-0.12668703815649848,21
WOCKPHARMA.NS,2020-01-31,2020-02-14,325.5453796386719,317.8941650390625,-1400.1722717285156,-0.023502758995079528,14
JINDALSTEL.NS,2020-01-10,2020-02-24,173.8768768310547,172.1543731689453,-721.7290344238281,-0.009906456186138104,45
ADANIGREEN.NS,2020-01-17,2020-02-24,188.64999389648438,185.89999389648438,-786.5,-0.01457725994684619,38
GRAVITA.NS,2020-01-10,2020-02-25,51.078128814697266,54.635101318359375,3311.541400909424,0.06963787801558273,46
ESCORTS.NS,2020-02-07,2020-02-26,828.9657592773438,790.71240234375,-4093.1091918945312,-0.04614588299393857,19
SCHNEIDER.NS,2020-01-17,2020-02-28,85.44999694824219,93.75,5395.001983642578,0.09713286539711871,42
BHARTIARTL.NS,2019-12-06,2020-03-02,419.9537353515625,489.3403015136719,9575.346130371094,0.16522431001601331,87
HONAUT.NS,2020-02-14,2020-03-02,36152.8359375,31698.2734375,-8909.125,-0.12321474607693077,17
TTML.NS,2020-02-14,2020-03-02,3.299999952316284,2.549999952316284,-6306.75,-0.22727273055672978,17
CANFINHOME.NS,2020-02-07,2020-03-04,460.0314636230469,451.2581787109375,-1324.7660217285156,-0.019071054060115916,26
CCL.NS,2020-02-07,2020-03-04,226.27236938476562,210.906494140625,-4594.396697998047,-0.06790875653938847,26
BLUEDART.NS,2020-01-24,2020-03-06,2683.007568359375,2626.665283203125,-1633.92626953125,-0.020999674328426362,42
AUBANK.NS,2020-01-31,2020-03-11,529.0131225585938,511.666748046875,-2428.492431640625,-0.0327900646921995,40
POLYMED.NS,2020-01-31,2020-03-12,267.33404541015625,266.1329650878906,-255.83010864257812,-0.004492807193423015,41
PATANJALI.NS,2020-07-17,2020-07-23,278.9898681640625,227.3950653076172,-6088.186737060547,-0.18493432466194265,6
TATACOMM.NS,2020-07-17,2020-07-24,615.1529541015625,585.165771484375,-3028.7054443359375,-0.048747522737632144,7
PATANJALI.NS,2020-07-24,2020-08-03,238.7510528564453,197.6561737060547,-5506.713806152344,-0.1721243892277195,10
SUZLON.NS,2020-07-17,2020-08-12,4.131961822509766,3.764677047729492,-3527.035692214966,-0.0888887145034616,26
JPPOWER.NS,2020-07-17,2020-08-17,1.7999999523162842,2.9000000953674316,35091.104563474655,0.6111112067728892,31
IRB.NS,2020-07-17,2020-08-31,5.768923282623291,5.7762131690979,52.654850006103516,0.001263647671753135,45
RPOWER.NS,2020-07-17,2020-08-31,3.450000047683716,3.4000000953674316,-576.8994498252869,-0.01449273960151203,45
ITI.NS,2020-07-17,2020-08-31,125.9000015258789,133.85000610351562,2734.8015747070312,0.06314538904912233,45
HUDCO.NS,2020-07-17,2020-08-31,25.375255584716797,25.089736938476562,-518.2163429260254,-0.011251853022209508,45
NEULANDLAB.NS,2020-07-17,2020-08-31,672.2081298828125,885.4769897460938,11943.05615234375,0.3172661120603538,45
PERSISTENT.NS,2020-07-17,2020-08-31,359.13873291015625,456.7281494140625,18639.578552246094,0.27173180601580965,45
IDEA.NS,2020-07-17,2020-09-01,8.899999618530273,8.850000381469727,-151.8976821899414,-0.005617892045348609,46
ZENTEC.NS,2020-08-14,2020-09-01,87.96437072753906,76.72749328613281,-6101.624450683594,-0.1277435096558738,18
LTFOODS.NS,2020-07-17,2020-09-07,40.144256591796875,48.88762283325195,8988.18049621582,0.21779868364137817,52
CGPOWER.NS,2020-08-21,2020-09-09,16.645158767700195,21.732553482055664,25665.90633392334,0.3056381008649506,19
JPPOWER.NS,2020-09-04,2020-09-21,2.6500000953674316,2.4000000953674316,-4786.25,-0.09433961924644257,17
BLS.NS,2020-09-04,2020-09-22,25.23831558227539,22.415912628173828,-5438.770492553711,-0.1118300840997371,18
ADANIGREEN.NS,2020-07-17,2020-09-23,347.29998779296875,588.25,26745.45135498047,0.6937806526807756,68
ZEEL.NS,2020-09-04,2020-09-23,203.6404571533203,177.45555114746094,-7436.5133056640625,-0.12858400718549182,19
LAURUSLABS.NS,2020-08-07,2020-09-24,200.28890991210938,252.9903564453125,16495.552764892578,0.2631271324824202,48
CGPOWER.NS,2020-09-11,2020-09-24,22.868568420410156,21.436199188232422,-3583.7878189086914,-0.06263484472859908,13
ECLERX.NS,2020-09-04,2020-10-01,243.5367431640625,231.86900329589844,-2263.541534423828,-0.04790956681351322,27
JWL.NS,2020-09-04,2020-10-05,17.076128005981445,15.090531349182129,-5647.036891937256,-0.11627909184703929,31
AFFLE.NS,2020-09-04,2020-10-06,545.2000122070312,546.8800048828125,171.3592529296875,0.003081424501405365,32
PGEL.NS,2020-09-25,2020-10-12,7.499248027801514,8.933148384094238,11990.274779319763,0.19120588504032826,17
BLS.NS,2020-09-25,2020-10-13,20.184080123901367,18.305923461914062,-4007.986316680908,-0.09305138755187804,18
KPITTECH.NS,2020-09-25,2020-10-22,107.50836944580078,102.00502014160156,-2047.2459411621094,-0.05118996160548853,27
PERSISTENT.NS,2020-09-25,2020-10-22,581.3185424804688,562.1820678710938,-2009.329833984375,-0.03291908516752319,27
APOLLOHOSP.NS,2020-10-09,2020-10-23,2245.097412109375,2045.8377685546875,-7771.1260986328125,-0.08875322847015073,14
BSOFT.NS,2020-07-17,2020-10-29,99.29434204101562,160.7769012451172,33262.064529418945,0.6191949907750524,104
INDIAMART.NS,2020-09-04,2020-10-30,1921.41162109375,2275.009765625,10254.34619140625,0.18403039757299205,56
POLYMED.NS,2020-07-17,2020-11-02,380.3592224121094,468.7574157714844,12022.154296875,0.2324071250298168,108
LAURUSLABS.NS,2020-09-25,2020-11-03,260.08966064453125,285.2947082519531,5015.804473876953,0.09690907183684638,39
ANANTRAJ.NS,2020-10-09,2020-11-04,20.99477767944336,17.889915466308594,-9131.399768829346,-0.14788735849176593,26
TTML.NS,2020-10-23,2020-11-05,5.650000095367432,7.400000095367432,20973.75,0.30973450804626823,13
NEULANDLAB.NS,2020-10-16,2020-11-10,1134.2989501953125,1051.9664306640625,-3704.96337890625,-0.0725844976909071,25
TTML.NS,2020-11-06,2020-11-12,7.050000190734863,5.800000190734863,-10252.5,-0.177304959742094,6
CGPOWER.NS,2020-09-25,2020-11-20,21.4855899810791,33.88302230834961,25042.813301086426,0.5770114918039525,56
PGEL.NS,2020-10-30,2020-11-20,10.56689453125,12.87512493133545,11665.79644203186,0.218439806819232,21
IIFL.NS,2020-11-20,2020-11-27,110.52050018310547,95.7557601928711,-9995.728973388672,-0.13359277207190348,7
GRANULES.NS,2020-07-24,2020-12-07,296.69439697265625,385.6995544433594,19225.114013671875,0.2999893438463078,136
BLUEDART.NS,2020-09-11,2020-12-09,2848.855224609375,3810.782470703125,20200.47216796875,0.3376539593111988,89
ADANIGREEN.NS,2020-10-30,2020-12-09,856.4000244140625,1070.0999755859375,19660.3955078125,0.2495328644088791,40
TEJASNET.NS,2020-11-06,2020-12-15,90.57443237304688,128.6874237060547,22296.09992980957,0.42079194243285667,39
HBLENGINE.NS,2020-11-13,2020-12-21,23.060869216918945,26.053871154785156,6665.415315628052,0.12978703923572626,38
TTML.NS,2020-11-13,2020-12-21,6.050000190734863,7.25,9165.598543167114,0.19834706965841908,38
J&KBANK.NS,2020-11-27,2020-12-21,22.830305099487305,20.728771209716797,-6550.481134414673,-0.09205018858104097,24
GPIL.NS,2020-10-23,2020-12-22,91.60707092285156,105.6901626586914,12421.286911010742,0.15373367573012084,60
TARIL.NS,2020-12-11,2021-01-07,10.258859634399414,9.616135597229004,-3704.0186262130737,-0.06265063175396855,27
SUZLON.NS,2021-01-01,2021-01-11,6.152032852172852,6.702960968017578,9551.99167251587,0.08955220641420061,10
KOTAKBANK.NS,2020-11-06,2021-01-12,341.5906982421875,378.4527893066406,11095.48941040039,0.10791304111658782,67
SAIL.NS,2021-01-08,2021-01-18,65.4078369140625,55.98503112792969,-11966.963348388672,-0.14406233611597902,10
LTM.NS,2020-10-16,2021-01-21,2845.26220703125,3700.37451171875,16247.1337890625,0.3005390162545775,97
HINDCOPPER.NS,2021-01-01,2021-01-22,60.35176467895508,55.492523193359375,-4713.464241027832,-0.08051531734730107,21
SCI.NS,2020-12-18,2021-01-25,80.739990234375,78.31314086914062,-2312.7874450683594,-0.030057588045151205,38
RKFORGE.NS,2020-10-09,2021-01-27,69.1399917602539,97.91722106933594,21669.25366973877,0.41621684608914034,110
WOCKPHARMA.NS,2020-12-11,2021-01-27,477.27911376953125,448.33355712890625,-4052.3779296875,-0.060647021429482126,47
JSL.NS,2020-10-23,2021-01-29,56.54890060424805,79.51117706298828,22227.483612060547,0.40606052838125856,98
LAURUSLABS.NS,2020-11-06,2021-01-29,271.0470886230469,339.1994934082031,13289.718933105469,0.2514411983961126,84
HBLENGINE.NS,2021-01-01,2021-02-08,39.00720977783203,34.738494873046875,-5579.210380554199,-0.10943399769165457,38
JWL.NS,2021-01-15,2021-02-09,26.358787536621094,21.543718338012695,-9634.953466415405,-0.18267415342677165,25
TTML.NS,2021-01-22,2021-02-09,14.199999809265137,19.700000762939453,38896.006744384766,0.3873240160246838,18
GRAVITA.NS,2021-01-01,2021-02-16,78.6764907836914,73.66514587402344,-3888.8036499023438,-0.06369558250184125,46
FACT.NS,2021-01-15,2021-02-17,83.52438354492188,75.1021728515625,-6417.724548339844,-0.10083535293414841,33
OLECTRA.NS,2020-12-11,2021-02-22,100.8526382446289,169.15283203125,35721.00135040283,0.6772276360381534,73
TATAELXSI.NS,2021-01-22,2021-02-22,2405.796875,2500.44970703125,2839.5849609375,0.039343650752414416,31
POONAWALLA.NS,2021-02-12,2021-02-24,97.10686492919922,106.20445251464844,8569.927505493164,0.09368634845829164,12
JKTYRE.NS,2021-01-29,2021-02-26,119.8192367553711,116.85317993164062,-1696.5845031738281,-0.02475442928906414,28
HINDCOPPER.NS,2021-02-26,2021-03-04,145.63143920898438,131.87979125976562,-7783.4327392578125,-0.09442774186612841,6
TMPV.NS,2021-01-22,2021-03-09,281.89398193359375,307.077880859375,7353.698486328125,0.08933819286611754,46
CEATLTD.NS,2021-01-29,2021-03-10,1393.4036865234375,1490.4088134765625,5432.287109375,0.06961738934045324,40
PGEL.NS,2021-02-12,2021-03-17,25.11573600769043,42.862125396728516,73061.8851146698,0.7065844848665453,33
ANANTRAJ.NS,2021-01-29,2021-03-18,40.544342041015625,51.37264633178711,20281.41393661499,0.2670731289662393,48
CGPOWER.NS,2021-01-29,2021-03-18,39.26677322387695,56.85037612915039,33197.84228515625,0.4477985192473461,48
POONAWALLA.NS,2021-02-26,2021-03-18,116.58757781982422,118.6642074584961,1474.4070434570312,0.017811757285850147,20
BANKINDIA.NS,2021-02-26,2021-03-18,70.18267059326172,55.58434295654297,-12700.545043945312,-0.20800473269708183,20
RPOWER.NS,2021-03-12,2021-03-18,5.199999809265137,4.550000190734863,-12441.642698287964,-0.12499993122540735,6
IOB.NS,2021-02-26,2021-03-22,17.899999618530273,15.0,-10521.198616027832,-0.16201115532584495,24
IIFL.NS,2021-02-12,2021-03-25,228.28826904296875,273.9749755859375,15076.613159179688,0.20012726336967201,41
