date,current_universe_equity,pit_universe_equity
2026-02-04,8724640.446692467,4444415.118948936
2026-02-05,8602668.775839806,4371450.605124474
2026-02-06,8621878.138220787,4381339.736868858
2026-02-09,8841771.128653526,4507438.39775753
2026-02-10,8859053.048651695,4544302.3960027695
2026-02-11,8902770.449942589,4572153.063986778
2026-02-12,8914409.278830528,4585106.676810265
2026-02-13,8696243.068717003,4466813.189551353
2026-02-16,8801422.684210777,4516633.723608971
2026-02-17,8760527.091498375,4505709.653113365
2026-02-18,8855684.431494713,4550274.50662899
2026-02-19,8746953.714240074,4486996.078604698
2026-02-20,8838591.38301754,4521950.764716148
2026-02-23,8872367.787985802,4554631.330496788
2026-02-24,8925078.629202843,4587217.949942589
2026-02-25,9157907.254263878,4682751.489584923
2026-02-26,9215522.20596981,4716804.537283897
2026-02-27,9118338.02350521,4675871.576910973
2026-03-02,9046745.746634483,4642713.9827337265
2026-03-04,8775400.286154747,4515733.244879723
2026-03-05,8914235.505515099,4599294.886862755
2026-03-06,8908293.841971397,4582234.838049889
2026-03-09,8712524.796118736,4481221.127356529
2026-03-10,8751568.485510826,4502065.925848961
2026-03-11,8735660.350714684,4489724.992056847
2026-03-12,8758544.49994564,4500151.258490562
2026-03-13,8619934.948584557,4418407.758109093
2026-03-16,8591646.723273277,4404656.079916954
2026-03-17,8677133.876563072,4455999.461722374
2026-03-18,8622892.040808678,4432775.789786339
2026-03-19,8569900.037329674,4400755.55388546
2026-03-20,8524858.24643612,4384012.149466515
2026-03-23,8492830.776770592,4355448.729605675
2026-03-24,8492830.776770592,4367765.792105675
2026-03-25,8492830.776770592,4378083.354605675
2026-03-27,8492830.776770592,4362327.104605675
2026-03-30,8492830.776770592,4355128.823355675
2026-04-01,8492830.776770592,4368405.635855675
2026-04-02,8492830.776770592,4372564.667105675
2026-04-06,8492830.776770592,4367605.854605675
2026-04-07,8492830.776770592,4367845.792105675
2026-04-08,8492830.776770592,4382002.417105675
2026-04-09,8492830.776770592,4404397.042105675
2026-04-10,8492830.776770592,4422152.823355675
2026-04-13,8492830.776770592,4420553.198355675
2026-04-15,8492830.776770592,4422312.792105675
2026-04-16,8492830.776770592,4419433.479605675
2026-04-17,8492830.776770592,4430150.917105675
2026-04-20,8492830.776770592,4441668.167105675
2026-04-21,8492830.776770592,4445587.229605675
2026-04-22,8492830.776770592,4452705.510855675
2026-04-23,8492830.776770592,4474860.229605675
2026-04-24,8492830.776770592,4482538.385855675
2026-04-27,8492830.776770592,4480378.917105675
2026-04-28,8492830.776770592,4492216.073355675
2026-04-29,8492830.776770592,4493495.760855675
2026-04-30,8492830.776770592,4504133.260855675
2026-05-04,8492830.776770592,4507012.573355675
2026-05-05,8492830.776770592,4515410.573355675
2026-05-06,8492830.776770592,4501413.885855675
2026-05-07,8492830.776770592,4525328.198355675
2026-05-08,8492830.776770592,4511411.510855675
2026-05-11,8492830.776770592,4495655.260855675
2026-05-12,8492830.776770592,4483578.135855675
2026-05-13,8492830.776770592,4475260.135855675
2026-05-14,8492830.776770592,4475260.135855675
2026-05-15,8492830.776770592,4475260.135855675
2026-05-18,8492830.776770592,4475260.135855675
2026-05-19,8492830.776770592,4475260.135855675
2026-05-20,8492830.776770592,4475260.135855675
2026-05-21,8492830.776770592,4475260.135855675
2026-05-22,8492830.776770592,4475260.135855675
2026-05-25,8492830.776770592,4475260.135855675
